"filename", "language", "Markdown", "JSON", "HTML", "JavaScript", "Java Properties", "vue", "PostCSS", "XML", "YAML", "MS SQL", "Java", "comment", "blank", "total"
"d:\project\hualimall\client\teach\06-页面讲解_购物车与订单.md", "Markdown", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 46
"d:\project\hualimall\client\teach\07-页面讲解_管理端与导航.md", "Markdown", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 51
"d:\project\hualimall\client\teach\08-样式与模板遗留代码.md", "Markdown", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 34
"d:\project\hualimall\client\teach\09-Vue基础语法速查.md", "Markdown", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 55
"d:\project\hualimall\client\teach\homepage-api-contract.md", "Markdown", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 149
"d:\project\hualimall\client\vite.config.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 2, 21
"d:\project\hualimall\server\.idea\compiler.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 19
"d:\project\hualimall\server\.idea\copilot.data.migration.ask2agent.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\project\hualimall\server\.idea\dataSources.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 17
"d:\project\hualimall\server\.idea\encodings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\project\hualimall\server\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"d:\project\hualimall\server\.idea\jarRepositories.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 20
"d:\project\hualimall\server\.idea\misc.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
"d:\project\hualimall\server\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\project\hualimall\server\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\project\hualimall\server\AGENTS.md", "Markdown", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 34
"d:\project\hualimall\server\README.md", "Markdown", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 63
"d:\project\hualimall\server\docs\data.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 3, 44
"d:\project\hualimall\server\docs\require\4-15-23.md", "Markdown", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 45
"d:\project\hualimall\server\docs\require\ai生成.md", "Markdown", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 39
"d:\project\hualimall\server\docs\require\plan.md", "Markdown", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 98
